id,question_text,answer,skill,difficulty,question_type,choices
76,Combine like terms: 4x + 3x,7x,Combining Like Terms,easy,fill_in_one,
77,Which is equivalent to 5a + 2b + 3a - b?,8a + b,Combining Like Terms,medium,multiple_choice,8a + b|8a + 3b|5a + b|2a + 5b
78,Simplify: 2x² + 5x - x² + 3x,x² + 8x,Combining Like Terms,hard,algebra,
79,The commutative property of addition states that a + b = ___,b + a,Commutative Property,easy,fill_in_one,
80,Which property is shown by 3 × 7 = 7 × 3?,Commutative Property,Commutative Property,medium,multiple_choice,Commutative Property|Associative Property|Distributive Property|Identity Property
81,Use the commutative property to rewrite xy + 5,5 + xy,Commutative Property,medium,algebra,
82,Two angles that add to 90° are called ___ angles,complementary,Complementary and Supplementary Angles,easy,fill_in_one,
83,If one angle is 35° what is its complement?,55°,Complementary and Supplementary Angles,medium,multiple_choice,55°|145°|35°|325°
84,Two supplementary angles are in ratio 2:3. Find the smaller angle,72°,Complementary and Supplementary Angles,hard,algebra,
85,If f(x) = x + 2 and g(x) = 3x find (f + g)(x),4x + 2,Composition of Function Adding,medium,fill_in_one,
86,Given f(x) = 2x - 1 and g(x) = x + 5 what is (f + g)(x)?,3x + 4,Composition of Function Adding,medium,multiple_choice,3x + 4|2x + 4|3x - 6|x + 4
87,If f(x) = x² and g(x) = 2x + 1 find (f + g)(3),18,Composition of Function Adding,hard,algebra,
88,If you invest $1000 at 5% annual interest compounded yearly what is it worth after 2 years?,$1102.50,Compound Interest,medium,fill_in_one,
89,With compound interest the formula is A = P(1 + r)ᵗ. What does r represent?,Interest rate,Compound Interest,medium,multiple_choice,Interest rate|Principal|Time|Final amount
90,Find the amount after 3 years if $2000 is invested at 6% compounded annually,$2382.03,Compound Interest,hard,algebra,
91,Calculate: -3 + 7 × 2,11,Computation with Real Numbers,easy,fill_in_one,
92,What is √16 + 3²?,13,Computation with Real Numbers,medium,multiple_choice,13|25|7|169
93,Simplify: 2√8 - √18 + 3√2,3√2,Computation with Real Numbers,hard,algebra,
94,Two triangles are congruent if they have the same ___ and ___,shape size,Congruence,easy,fill_in_one,
95,Which symbol represents congruence?,≅,Congruence,easy,multiple_choice,≅|~|=|≈
96,If triangle ABC ≅ triangle DEF and AB = 5 then DE = ___,5,Congruence,medium,algebra,
97,Convert 0.75 to a fraction,3/4,Conversion of Fraction Decimals Percents,easy,fill_in_one,
98,What is 3/5 as a percent?,60%,Conversion of Fraction Decimals Percents,medium,multiple_choice,60%|35%|53%|65%
99,Express 2.45 as a fraction in lowest terms,49/20,Conversion of Fraction Decimals Percents,hard,algebra,
100,How many different 3-digit numbers can be formed using digits 1 2 3 without repetition?,6,Counting Methods,medium,fill_in_one,
101,In how many ways can the letters of MATH be arranged?,24,Counting Methods,medium,multiple_choice,24|12|16|4
102,How many 4-letter codes can be made from 26 letters if repetition is allowed?,456976,Counting Methods,hard,algebra,
103,Pi (π) is the ratio of a circle's ___ to its ___,circumference diameter,Definition Pi,easy,fill_in_one,
104,What is the approximate value of π?,3.14159,Definition Pi,easy,multiple_choice,3.14159|3.41519|3.15149|3.51419
105,If a circle has radius r what is its area in terms of π?,πr²,Definition Pi,medium,algebra,
106,The distributive property states that a(b + c) = ___,ab + ac,Distributive Property,easy,fill_in_one,
107,Which shows the distributive property?,3(x + 4) = 3x + 12,Distributive Property,medium,multiple_choice,3(x + 4) = 3x + 12|(x + 4) × 3 = 7x|3 + (x × 4) = 3x + 4|3x + 4x = 7x
108,Use the distributive property to expand: 2(3x - 5y + 4),6x - 10y + 8,Distributive Property,hard,algebra,
109,A number is divisible by 2 if it ends in ___,0 2 4 6 or 8,Divisibility Rules,easy,fill_in_one,
110,Which number is divisible by 3?,123,Divisibility Rules,medium,multiple_choice,123|124|125|127
111,Determine if 2574 is divisible by 9,No,Divisibility Rules,hard,algebra,
112,Calculate: 3/4 ÷ 1/2,3/2,Division Fractions,medium,fill_in_one,
113,What is 2/3 ÷ 4/5?,5/6,Division Fractions,medium,multiple_choice,5/6|8/15|10/12|6/5
114,Solve: x ÷ 2/7 = 14,x = 4,Division Fractions,hard,algebra,
115,Calculate: 144 ÷ 12,12,Division Whole Numbers,easy,fill_in_one,
116,What is 256 ÷ 16?,16,Division Whole Numbers,easy,multiple_choice,16|15|17|14
117,If 15x = 375 find x,25,Division Whole Numbers,medium,algebra,
118,When dimensions of a shape are doubled the area is multiplied by ___,4,Effect of Changing Dimensions of a Shape Proportionally,medium,fill_in_one,
119,If a cube's side length triples what happens to its volume?,It becomes 27 times larger,Effect of Changing Dimensions of a Shape Proportionally,hard,multiple_choice,It becomes 27 times larger|It becomes 9 times larger|It triples|It becomes 6 times larger
120,A rectangle's length and width are both increased by 50%. By what factor does the area increase?,2.25,Effect of Changing Dimensions of a Shape Proportionally,hard,algebra,
121,1 meter = ___ centimeters,100,English and Metric Terminology,easy,fill_in_one,
122,How many millimeters are in 1 inch?,25.4,English and Metric Terminology,medium,multiple_choice,25.4|2.54|254|0.254
123,Convert 5 kilometers to miles (1 km ≈ 0.621 miles),3.105 miles,English and Metric Terminology,hard,algebra,
124,An equation shows that two expressions are ___,equal,Equal As Balance Concept,easy,fill_in_one,
125,What does the equals sign represent in an equation?,Balance,Equal As Balance Concept,easy,multiple_choice,Balance|Greater than|Addition|Subtraction
126,If 3x + 5 = 14 what operation undoes adding 5?,Subtraction,Equal As Balance Concept,medium,algebra,
127,Solve: 2x + 7 = 19,x = 6,Equation Solving Two or Fewer Steps,easy,fill_in_one,
128,What is the solution to 3y - 4 = 8?,y = 4,Equation Solving Two or Fewer Steps,medium,multiple_choice,y = 4|y = 12|y = 2|y = 8
129,Solve for a: a/5 + 3 = 7,a = 20,Equation Solving Two or Fewer Steps,medium,algebra,
130,Solve: 3(x - 2) + 4x = 22,x = 4,Equation Solving More Than Two Steps,medium,fill_in_one,
131,What is the solution to 2(y + 3) - 5y = 15?,y = -3,Equation Solving More Than Two Steps,hard,multiple_choice,y = -3|y = 3|y = 7|y = -7
132,Solve: 4x - 3(2x + 1) = 5x - 21,x = 6,Equation Solving More Than Two Steps,hard,algebra,
133,Which fraction is equivalent to 2/3?,4/6,Equivalent Fractions,easy,fill_in_one,
134,What fraction equals 3/4?,6/8,Equivalent Fractions,easy,multiple_choice,6/8|7/9|5/7|8/6
135,Find an equivalent fraction for 5/12 with denominator 36,15/36,Equivalent Fractions,medium,algebra,
136,Round 47.8 to the nearest whole number,48,Estimation,easy,fill_in_one,
137,Which is the best estimate for 298 + 403?,700,Estimation,easy,multiple_choice,700|600|800|500
138,Estimate the product: 19 × 31,600,Estimation,medium,algebra,
139,Write 3000 + 400 + 70 + 2 in standard form,3472,Expanded,easy,fill_in_one,
140,What is the expanded form of 5067?,5000 + 60 + 7,Expanded,easy,multiple_choice,5000 + 60 + 7|500 + 60 + 7|5000 + 600 + 70|50 + 67
141,Express 2.306 in expanded form,2 + 0.3 + 0.006,Expanded,medium,algebra,
142,What is 5³?,125,Exponent,easy,fill_in_one,
143,Which equals 2⁴?,16,Exponent,easy,multiple_choice,16|8|4|32
144,Evaluate: 3² + 4²,25,Exponent,medium,algebra,
145,Simplify: x³ · x⁵,x⁸,Exponents,medium,fill_in_one,
146,What is (2³)²?,64,Exponents,medium,multiple_choice,64|32|16|128
147,Simplify: (3a²b³)²,9a⁴b⁶,Exponents,hard,algebra,
148,Factor: x² + 5x + 6,(x + 2)(x + 3),Factoring Trinomials,medium,fill_in_one,
149,Which is the factored form of x² - 7x + 12?,(x - 3)(x - 4),Factoring Trinomials,hard,multiple_choice,(x - 3)(x - 4)|(x + 3)(x + 4)|(x - 6)(x - 2)|(x + 1)(x + 12)
150,Factor completely: 2x² + 8x + 6,2(x + 1)(x + 3),Factoring Trinomials,hard,algebra,
151,For y = x² - 4x + 3 the minimum occurs at x = ___,2,Finding Max and Min from a Quadratic Equation,hard,fill_in_one,
152,What is the vertex of y = x² - 6x + 5?,(3 -4),Finding Max and Min from a Quadratic Equation,hard,multiple_choice,(3 -4)|(6 5)|(3 5)|(-3 4)
153,Find the maximum value of y = -2x² + 8x - 3,5,Finding Max and Min from a Quadratic Equation,hard,algebra,
154,What is 25% of 80?,20,Finding Percents,easy,fill_in_one,
155,Calculate 15% of 200,30,Finding Percents,medium,multiple_choice,30|15|45|3
156,If 60% of a number is 42 find the number,70,Finding Percents,hard,algebra,
157,Express the ratio 12:18 in simplest form,2:3,Finding Ratios,easy,fill_in_one,
158,What is the ratio of 15 to 25 in lowest terms?,3:5,Finding Ratios,medium,multiple_choice,3:5|5:3|15:25|1:2
159,A recipe calls for flour and sugar in the ratio 4:1. If 20 cups of flour are used how much sugar is needed?,5 cups,Finding Ratios,medium,algebra,
160,Find the slope of y = 3x + 2,3,Finding Slope From Equation,easy,fill_in_one,
161,What is the slope of the line 2y = 6x - 4?,3,Finding Slope From Equation,medium,multiple_choice,3|6|2|-4
162,Determine the slope of 4x - 3y = 12,4/3,Finding Slope From Equation,hard,algebra,
163,A car travels 60 miles in 2 hours. What is the rate?,30 mph,Finding Slope From Situation,easy,fill_in_one,
164,Water flows at 15 gallons per 3 minutes. What is the unit rate?,5 gallons per minute,Finding Slope From Situation,medium,multiple_choice,5 gallons per minute|45 gallons per minute|12 gallons per minute|18 gallons per minute
165,A plant grows 6 inches every 4 weeks. Express this as a unit rate,1.5 inches per week,Finding Slope From Situation,medium,algebra,
166,Find the slope of a line passing through (2 3) and (4 7),2,Finding Slope from Ordered Pairs,medium,fill_in_one,
167,What is the slope between points (1 5) and (3 11)?,3,Finding Slope from Ordered Pairs,medium,multiple_choice,3|2|6|1
168,Calculate the slope of the line through (-2 4) and (3 -1),-1,Finding Slope from Ordered Pairs,hard,algebra,
169,From the graph identify the slope if line goes through (0 1) and (2 5),2,Finding Slope from Graph,medium,fill_in_one,
170,Looking at the graph what is the slope of the line shown?,1/2,Finding Slope from Graph,medium,multiple_choice,1/2|2|−1/2|−2
171,A line on a coordinate plane has slope -3 and passes through (1 4). Write the equation,y = -3x + 7,Finding Slope from Graph,hard,algebra,
172,Express 3/8 as a decimal,0.375,Finding fractions and ratios,easy,fill_in_one,
173,What fraction represents the ratio 6:8?,3/4,Finding fractions and ratios,medium,multiple_choice,3/4|6/8|4/3|2/3
174,In a class of 24 students 18 passed a test. What fraction passed?,3/4,Finding fractions and ratios,medium,algebra,
175,Find the y-intercept of y = 2x + 5,5,Finding y-intercept from Linear Equation,easy,fill_in_one,
176,What is the y-intercept of 3x + y = 7?,7,Finding y-intercept from Linear Equation,medium,multiple_choice,7|3|-7|-3
177,Determine the y-intercept of 2x - 3y = 9,-3,Finding y-intercept from Linear Equation,hard,algebra,
178,A phone plan costs $20 plus $0.10 per minute. What is the y-intercept in this situation?,20,Finding y-intercept from Linear Situation,medium,fill_in_one,
179,A taxi charges $3 initially plus $2 per mile. What represents the starting cost?,3,Finding y-intercept from Linear Situation,medium,multiple_choice,3|2|5|1
180,A membership fee is $50 plus $15 per month. In the equation y = 15x + 50 what does 50 represent?,Initial membership fee,Finding y-intercept from Linear Situation,hard,algebra,
181,Calculate: 2/3 of 15,10,Fraction Of,easy,fill_in_one,
182,What is 3/4 of 20?,15,Fraction Of,medium,multiple_choice,15|16|12|18
183,Find 5/8 of 32,20,Fraction Of,medium,algebra,
184,A line segment has two ___,endpoints,Geometric Definitions,easy,fill_in_one,
185,What is a polygon with 6 sides called?,Hexagon,Geometric Definitions,medium,multiple_choice,Hexagon|Pentagon|Octagon|Heptagon
186,Define a bisector,A line that divides an angle or segment into two equal parts,Geometric Definitions,hard,algebra,
187,What shape does y = x² make when graphed?,Parabola,Graph Shape,medium,fill_in_one,
188,Which equation represents a circle?,x² + y² = r²,Graph Shape,hard,multiple_choice,x² + y² = r²|y = mx + b|y = ax² + bx + c|y = a/x
189,The graph of y = |x| forms what shape?,V-shape,Graph Shape,hard,algebra,
190,Graph x ≥ 3 on a number line. The solution includes a ___ circle at 3,closed,Graphing Inequalities on a number line,medium,fill_in_one,
191,When graphing x < -2 what type of circle is used at -2?,Open,Graphing Inequalities on a number line,medium,multiple_choice,Open|Closed|Dotted|Filled
192,Graph the solution to 2x + 1 ≤ 7,x ≤ 3,Graphing Inequalities on a number line,hard,algebra,
193,Find the GCF of 12 and 18,6,Greatest Common Factor,easy,fill_in_one,
194,What is the greatest common factor of 24 and 36?,12,Greatest Common Factor,medium,multiple_choice,12|6|8|18
195,Determine the GCF of 48 72 and 96,24,Greatest Common Factor,hard,algebra,
196,A histogram shows data using ___,bars,Histogram as Table or Graph,easy,fill_in_one,
197,In a histogram what do the heights of bars represent?,Frequency,Histogram as Table or Graph,medium,multiple_choice,Frequency|Data values|Intervals|Categories
198,Create a histogram for scores: 70 75 80 80 85 85 85 90. How many students scored 85?,3,Histogram as Table or Graph,hard,algebra,
199,The x-intercept occurs where y = ___,0,Intercept,easy,fill_in_one,
200,At what point does the line y = 2x - 6 cross the x-axis?,(3 0),Intercept,medium,multiple_choice,(3 0)|(0 -6)|(-3 0)|(0 3)
201,Find both intercepts of 3x + 4y = 12,x-intercept: (4 0) y-intercept: (0 3),Intercept,hard,algebra,
202,The sum of interior angles in a quadrilateral is ___°,360,Interior Angles Figures with More than 3 Sides,medium,fill_in_one,
203,What is the sum of interior angles in a pentagon?,540°,Interior Angles Figures with More than 3 Sides,medium,multiple_choice,540°|450°|720°|360°
204,Find each interior angle of a regular hexagon,120°,Interior Angles Figures with More than 3 Sides,hard,algebra,
205,The sum of interior angles in any triangle is ___°,180,Interior Angles Triangle,easy,fill_in_one,
206,In a triangle if two angles are 60° and 70° what is the third angle?,50°,Interior Angles Triangle,medium,multiple_choice,50°|60°|110°|130°
207,An isosceles triangle has two equal angles of x° and a third angle of 40°. Find x,70,Interior Angles Triangle,hard,algebra,
208,If f(x) = 2x what is f⁻¹(x)?,x/2,Inverse Relations,hard,fill_in_one,
209,What is the inverse of y = x + 5?,y = x - 5,Inverse Relations,hard,multiple_choice,y = x - 5|y = -x + 5|y = 5 - x|y = 1/(x + 5)
210,Find the inverse function of f(x) = 3x - 7,f⁻¹(x) = (x + 7)/3,Inverse Relations,hard,algebra,
211,Find the LCM of 6 and 8,24,Least Common Multiple,easy,fill_in_one,
212,What is the least common multiple of 12 and 15?,60,Least Common Multiple,medium,multiple_choice,60|30|180|45
213,Determine the LCM of 18 24 and 36,72,Least Common Multiple,hard,algebra,
214,A line plot uses ___ to show frequency,X marks or dots,Line Plot,easy,fill_in_one,
215,In a line plot what does each X represent?,One data point,Line Plot,medium,multiple_choice,One data point|Ten data points|The mean|The range
216,Create a line plot for shoe sizes: 7 7 8 8 8 9 10. How many size 8 shoes are there?,3,Line Plot,hard,algebra,
217,A figure has line symmetry if it can be folded along a line so both halves ___,match exactly,Line Symmetry,medium,fill_in_one,
218,How many lines of symmetry does a square have?,4,Line Symmetry,medium,multiple_choice,4|2|8|1
219,Determine the number of lines of symmetry in a regular pentagon,5,Line Symmetry,hard,algebra,
220,A line of best fit shows the general ___ in data,trend,Line of Best-Fit,medium,fill_in_one,
221,What does a line of best fit help predict?,Future values,Line of Best-Fit,medium,multiple_choice,Future values|Exact data points|The median|The mode
222,If a line of best fit has equation y = 2x + 1 predict y when x = 5,11,Line of Best-Fit,hard,algebra,
223,A linear equation graphs as a ___,straight line,Linear Equations,easy,fill_in_one,
224,Which is a linear equation?,y = 3x + 2,Linear Equations,medium,multiple_choice,y = 3x + 2|y = x²|y = 1/x|y = x³
225,Write a linear equation with slope 4 and y-intercept -1,y = 4x - 1,Linear Equations,hard,algebra,
226,1 square meter = ___ square centimeters,10000,Linear area volume conversion,medium,fill_in_one,
227,How many cubic inches are in 1 cubic foot?,1728,Linear area volume conversion,hard,multiple_choice,1728|144|12|1000
228,Convert 5 square feet to square inches,720 square inches,Linear area volume conversion,hard,algebra,
229,Find the mean of: 4 7 8 10 11,8,Mean,easy,fill_in_one,
230,What is the average of 15 20 25 30?,22.5,Mean,medium,multiple_choice,22.5|25|20|90
231,The mean of five numbers is 12. If four numbers are 8 10 14 16 find the fifth,12,Mean,hard,algebra,
232,Mean is ___; median is ___; mode is ___; range is ___,average middle most frequent difference,Mean-Median-Mode-Range Differentiation,medium,fill_in_one,
233,Which measure is most affected by outliers?,Mean,Mean-Median-Mode-Range Differentiation,hard,multiple_choice,Mean|Median|Mode|Range
234,For the data 2 5 5 8 12 identify which is largest: mean median mode or range,Range,Mean-Median-Mode-Range Differentiation,hard,algebra,
235,Find the median of: 3 7 9 12 15,9,Median,easy,fill_in_one,
236,What is the median of 2 4 6 8 10 12?,7,Median,medium,multiple_choice,7|6|8|42
237,The median of 1 3 x 7 9 is 5. Find x,5,Median,hard,algebra,
238,Find the mode of: 2 3 3 4 5 5 5 6,5,Mode,easy,fill_in_one,
239,What is the mode of 10 15 10 20 15 10?,10,Mode,medium,multiple_choice,10|15|20|No mode
240,A data set has modes 7 and 12. This is called ___,bimodal,Mode,hard,algebra,
241,A monomial has ___ term,one,Monomial,easy,fill_in_one,
242,Which is a monomial?,5x²,Monomial,medium,multiple_choice,5x²|x + 3|2x - y|x² + 1
243,Identify the degree of the monomial 7x³y²z,6,Monomial,hard,algebra,
244,Calculate: 2/3 × 3/4,1/2,Multiplication Fractions,easy,fill_in_one,
245,What is 5/6 × 2/7?,5/21,Multiplication Fractions,medium,multiple_choice,5/21|10/42|7/13|35/12
246,Solve: 3/4 × x = 9/16,x = 3/4,Multiplication Fractions,hard,algebra,
247,Calculate: 23 × 45,1035,Multiplication Whole Numbers,easy,fill_in_one,
248,What is 67 × 89?,5963,Multiplication Whole Numbers,medium,multiple_choice,5963|5936|6953|5693
249,If 15n = 450 find n,30,Multiplication Whole Numbers,hard,algebra,
250,Calculate: (-4) × 7,-28,Multiplication and Division Integers,easy,fill_in_one,
251,What is (-3) × (-8)?,24,Multiplication and Division Integers,medium,multiple_choice,24|−24|11|−11
252,Solve: -5x = 60,x = -12,Multiplication and Division Integers,hard,algebra,
253,Calculate: 2.5 × 1.6,4.0,Multiplication and Division Positive Decimals,easy,fill_in_one,
254,What is 3.2 × 4.5?,14.4,Multiplication and Division Positive Decimals,medium,multiple_choice,14.4|7.7|12.7|144
255,If 1.5x = 7.2 find x,4.8,Multiplication and Division Positive Decimals,hard,algebra,
256,Multiply: 3x² × 5x³,15x⁵,Multiplying Monomials,medium,fill_in_one,
257,What is (2a³b) × (4ab²)?,8a⁴b³,Multiplying Monomials,hard,multiple_choice,8a⁴b³|8a³b²|6a⁴b³|2a⁴b³
258,Simplify: (-3xy²) × (2x³y) × (-y),6x⁴y⁴,Multiplying Monomials,hard,algebra,
259,Multiply: (x + 2)(x + 3),x² + 5x + 6,Multiplying non Monomial Polynomials,medium,fill_in_one,
260,What is (2x - 1)(x + 4)?,2x² + 7x - 4,Multiplying non Monomial Polynomials,hard,multiple_choice,2x² + 7x - 4|2x² + 8x - 4|2x² - 7x - 4|x² + 7x - 4
261,Expand: (x - 3)(2x² + x - 5),2x³ - 5x² - 8x + 15,Multiplying non Monomial Polynomials,hard,algebra,
262,A cube can be unfolded into a ___,net,Nets of 3D Figures,easy,fill_in_one,
263,How many faces does a cube's net have?,6,Nets of 3D Figures,medium,multiple_choice,6|8|12|4
264,A triangular prism's net contains ___ rectangles and ___ triangles,3 rectangles 2 triangles,Nets of 3D Figures,hard,algebra,
265,On a number line -3 is to the ___ of 0,left,Number Line,easy,fill_in_one,
266,Which point is furthest right on a number line?,5,Number Line,easy,multiple_choice,5|−2|0|3
267,The distance between -4 and 7 on a number line is ___,11,Number Line,medium,algebra,
268,Simplify: 5 + 3 × 2,11,Order of Operations,easy,fill_in_one,
269,What is 20 - 4 × 3 + 2?,10,Order of Operations,medium,multiple_choice,10|50|14|48
270,Calculate: 8 + 2³ - 4 × 2,8,Order of Operations,hard,algebra,
271,Evaluate: 3² + 4(5 - 2) - 6 ÷ 2,18,Order of Operations All,medium,fill_in_one,
272,What is 2[3 + 4(5 - 1)] - 8?,30,Order of Operations All,hard,multiple_choice,30|46|22|38
273,Simplify: 5{2[3 + 4(2 - 1)] - 6},50,Order of Operations All,hard,algebra,
